Diet Type,Calories,Protein,Calcium,Fats,Breakfast,Lunch,Dinner
Vegetarian,2699,133,659,57,Aloo Paratha,Chole Bhature,Khichdi
Non-Vegetarian,2781,132,1077,46,Egg Bhurji,Egg Curry with Rice,Tandoori Fish
Vegetarian,1394,138,1189,67,Vegetable Poha,Dal Rice,Matar Paneer
Non-Vegetarian,2548,109,1165,26,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2738,179,580,39,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2810,192,742,53,Oats with Fruits,Chole Bhature,Dum Aloo
Vegetarian,1303,113,547,90,Idli Sambhar,Chole Bhature,Dum Aloo
Non-Vegetarian,2789,186,775,61,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,2705,126,541,56,Paneer Paratha,Dal Rice,Khichdi
Non-Vegetarian,2513,136,1139,69,Chicken Sausage,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2239,186,1016,42,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,2561,115,603,59,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,2553,70,443,51,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,1526,134,685,99,Idli Sambhar,Chole Bhature,Khichdi
Non-Vegetarian,2554,98,1013,48,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1291,170,689,20,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,3032,76,446,60,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,3047,200,799,32,Scrambled Eggs,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1354,110,597,67,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,2329,140,1133,82,Vegetable Poha,Chole Bhature,Dum Aloo
Vegetarian,2825,53,612,66,Oats with Fruits,Rajma Chawal,Khichdi
Non-Vegetarian,3060,191,1104,92,Chicken Sandwich,Mutton Biryani,Butter Chicken
Vegetarian,2913,171,662,62,Vegetable Poha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3470,145,579,20,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,1973,83,548,66,Egg Omelette,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1939,88,1113,25,Chicken Sausage,Mutton Biryani,Grilled Chicken
Vegetarian,2699,155,604,45,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2184,165,436,91,Aloo Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,2762,63,536,43,Oats with Fruits,Rajma Chawal,Khichdi
Non-Vegetarian,1895,83,559,94,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,2477,98,539,50,Scrambled Eggs,Fish Fry with Roti,Tandoori Fish
Vegetarian,1737,68,755,99,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,3216,119,896,20,Chicken Sausage,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2822,116,1023,87,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3152,90,485,28,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Vegetarian,1945,146,1099,49,Vegetable Poha,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,2824,53,863,35,Egg Bhurji,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1295,72,734,55,Chicken Sausage,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3375,109,543,71,Egg Bhurji,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2387,114,814,77,Egg Omelette,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1283,153,1099,66,Scrambled Eggs,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,3032,120,787,96,Chicken Sausage,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3262,150,495,99,Egg Bhurji,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,2420,176,914,65,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Vegetarian,1629,168,700,74,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2087,121,1078,73,Paneer Paratha,Rajma Chawal,Khichdi
Vegetarian,2314,191,646,55,Aloo Paratha,Dal Rice,Khichdi
Vegetarian,2296,112,898,35,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,2372,90,1136,92,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,3077,130,1056,20,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,1588,112,827,47,Oats with Fruits,Dal Rice,Dum Aloo
Vegetarian,1843,95,924,31,Oats with Fruits,Rajma Chawal,Matar Paneer
Non-Vegetarian,2206,131,501,62,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,1420,67,1066,77,Scrambled Eggs,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,2727,64,1151,76,Egg Bhurji,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,1742,112,821,74,Aloo Paratha,Chole Bhature,Matar Paneer
Vegetarian,3287,170,1025,82,Vegetable Poha,Dal Rice,Palak Paneer with Roti
Vegetarian,2764,186,802,48,Oats with Fruits,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,2220,147,456,40,Egg Omelette,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1410,165,872,57,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Vegetarian,3474,115,1192,97,Aloo Paratha,Vegetable Biryani,Khichdi
Non-Vegetarian,1948,192,808,22,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1863,183,771,61,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,1362,113,498,63,Chicken Sausage,Prawn Masala,Butter Chicken
Vegetarian,2614,160,950,79,Paneer Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,1335,97,843,81,Chicken Sausage,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,1673,97,473,21,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Vegetarian,3300,151,878,52,Aloo Paratha,Dal Rice,Khichdi
Non-Vegetarian,3332,111,1182,79,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,2957,180,861,35,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,1893,191,973,96,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Vegetarian,3017,110,1145,84,Paneer Paratha,Chole Bhature,Palak Paneer with Roti
Vegetarian,1203,120,1112,81,Idli Sambhar,Vegetable Biryani,Dum Aloo
Vegetarian,2458,56,984,61,Paneer Paratha,Rajma Chawal,Matar Paneer
Non-Vegetarian,2233,150,401,41,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Vegetarian,1749,106,771,85,Idli Sambhar,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2985,141,464,38,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,2242,61,627,82,Oats with Fruits,Vegetable Biryani,Matar Paneer
Non-Vegetarian,2314,105,1152,33,Scrambled Eggs,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1433,167,851,34,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1764,102,1100,37,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Vegetarian,1273,98,432,43,Oats with Fruits,Rajma Chawal,Dum Aloo
Vegetarian,2005,171,870,69,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2624,71,786,68,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,3103,178,429,58,Aloo Paratha,Dal Rice,Dum Aloo
Vegetarian,1345,66,843,22,Oats with Fruits,Rajma Chawal,Dum Aloo
Non-Vegetarian,3103,69,662,45,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,3242,50,1117,89,Chicken Sausage,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2156,62,895,63,Egg Omelette,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1998,182,931,70,Egg Omelette,Egg Curry with Rice,Grilled Chicken
Vegetarian,3419,179,1133,83,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,2106,89,846,23,Chicken Sausage,Prawn Masala,Butter Chicken
Vegetarian,2157,158,898,70,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2747,52,903,26,Vegetable Poha,Rajma Chawal,Dum Aloo
Non-Vegetarian,1474,54,595,93,Chicken Sandwich,Egg Curry with Rice,Grilled Chicken
Vegetarian,2112,71,974,51,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Vegetarian,1622,186,731,33,Paneer Paratha,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2781,144,799,49,Egg Omelette,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2585,79,505,100,Egg Omelette,Prawn Masala,Butter Chicken
Vegetarian,2898,105,1049,89,Vegetable Poha,Chole Bhature,Dum Aloo
Non-Vegetarian,1652,74,523,75,Scrambled Eggs,Egg Curry with Rice,Tandoori Fish
Vegetarian,2528,127,1070,26,Oats with Fruits,Dal Rice,Dum Aloo
Vegetarian,1828,55,671,74,Idli Sambhar,Vegetable Biryani,Dum Aloo
Vegetarian,2369,128,928,36,Vegetable Poha,Vegetable Biryani,Khichdi
Non-Vegetarian,2178,175,960,43,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2123,158,567,61,Chicken Sausage,Mutton Biryani,Tandoori Fish
Vegetarian,1204,128,800,35,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1398,59,758,40,Egg Bhurji,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2911,105,916,20,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Non-Vegetarian,3277,134,1177,48,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Vegetarian,3234,183,479,84,Paneer Paratha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,1467,200,816,26,Scrambled Eggs,Prawn Masala,Tandoori Fish
Non-Vegetarian,1732,167,413,71,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2722,175,630,68,Aloo Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,1969,115,685,92,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,1530,183,680,96,Oats with Fruits,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,1567,58,982,70,Idli Sambhar,Dal Rice,Khichdi
Non-Vegetarian,1518,50,840,70,Egg Omelette,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1912,145,799,45,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,1611,154,543,42,Chicken Sausage,Prawn Masala,Tandoori Fish
Non-Vegetarian,1815,100,1113,20,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,2466,160,709,29,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,1967,70,712,55,Idli Sambhar,Dal Rice,Khichdi
Non-Vegetarian,1730,159,735,90,Scrambled Eggs,Prawn Masala,Tandoori Fish
Vegetarian,1392,97,809,34,Aloo Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,1872,147,1096,80,Aloo Paratha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1216,105,546,66,Paneer Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,1525,137,733,35,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2679,63,1087,36,Paneer Paratha,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2525,90,755,96,Chicken Sausage,Mutton Biryani,Chicken Tikka Masala
Vegetarian,3390,173,1081,52,Paneer Paratha,Chole Bhature,Dum Aloo
Vegetarian,1485,119,441,32,Aloo Paratha,Chole Bhature,Dum Aloo
Vegetarian,2043,104,1015,71,Oats with Fruits,Chole Bhature,Khichdi
Vegetarian,2928,114,1098,65,Paneer Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,2300,85,646,50,Chicken Sandwich,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,1947,54,1193,31,Oats with Fruits,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,1777,141,1119,45,Idli Sambhar,Chole Bhature,Khichdi
Vegetarian,3404,177,1008,98,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Vegetarian,1928,65,826,71,Vegetable Poha,Rajma Chawal,Matar Paneer
Vegetarian,2222,84,654,88,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,2985,198,425,33,Egg Omelette,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3470,110,889,35,Chicken Sandwich,Prawn Masala,Grilled Chicken
Non-Vegetarian,1934,178,612,96,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,2184,103,1170,40,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,3338,117,873,38,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,1773,190,1000,60,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,1231,143,1125,79,Vegetable Poha,Chole Bhature,Dum Aloo
Non-Vegetarian,2545,190,747,99,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,1828,100,1114,31,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,2618,151,491,80,Chicken Sandwich,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,3475,179,1132,32,Vegetable Poha,Dal Rice,Dum Aloo
Vegetarian,3127,145,468,59,Paneer Paratha,Chole Bhature,Khichdi
Non-Vegetarian,2319,153,938,29,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,2328,178,787,63,Chicken Sausage,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,3450,190,641,84,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2051,93,410,92,Paneer Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,2374,172,654,68,Idli Sambhar,Dal Rice,Dum Aloo
Non-Vegetarian,1578,81,434,82,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1942,110,1157,54,Oats with Fruits,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,3383,68,537,43,Egg Omelette,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,1973,108,1189,28,Chicken Sausage,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2782,139,1169,84,Oats with Fruits,Dal Rice,Matar Paneer
Vegetarian,3433,189,624,78,Oats with Fruits,Chole Bhature,Matar Paneer
Non-Vegetarian,1553,56,642,48,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3337,193,815,74,Chicken Sandwich,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2905,96,440,28,Idli Sambhar,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,1778,96,1062,93,Vegetable Poha,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,1548,195,457,30,Scrambled Eggs,Egg Curry with Rice,Butter Chicken
Vegetarian,3186,170,682,42,Aloo Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,2460,107,1035,63,Aloo Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,3088,83,502,25,Scrambled Eggs,Fish Fry with Roti,Grilled Chicken
Vegetarian,2811,191,855,26,Paneer Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,3494,73,983,90,Paneer Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,2816,122,714,33,Vegetable Poha,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,2996,173,931,59,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2695,156,562,51,Egg Omelette,Mutton Biryani,Grilled Chicken
Non-Vegetarian,2103,161,555,20,Chicken Sandwich,Egg Curry with Rice,Grilled Chicken
Vegetarian,2762,119,891,43,Oats with Fruits,Dal Rice,Mixed Vegetable Curry
Vegetarian,1381,124,697,43,Oats with Fruits,Dal Rice,Dum Aloo
Vegetarian,3034,140,1004,79,Vegetable Poha,Rajma Chawal,Matar Paneer
Vegetarian,2054,72,717,84,Oats with Fruits,Chole Bhature,Dum Aloo
Vegetarian,3237,145,423,79,Paneer Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2644,146,577,72,Chicken Sausage,Prawn Masala,Tandoori Fish
Vegetarian,3048,171,913,69,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,1420,74,814,93,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2688,100,1083,88,Vegetable Poha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,1426,196,1172,55,Vegetable Poha,Vegetable Biryani,Matar Paneer
Vegetarian,3344,121,1019,72,Vegetable Poha,Vegetable Biryani,Matar Paneer
Vegetarian,2381,158,431,61,Paneer Paratha,Dal Rice,Khichdi
Non-Vegetarian,2931,175,659,53,Egg Omelette,Prawn Masala,Butter Chicken
Non-Vegetarian,1935,139,1083,80,Chicken Sandwich,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,3267,120,436,83,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2260,187,974,99,Scrambled Eggs,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2779,67,1191,48,Scrambled Eggs,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,3112,130,842,58,Chicken Sandwich,Prawn Masala,Grilled Chicken
Non-Vegetarian,3399,66,585,36,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,3406,98,1115,40,Scrambled Eggs,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,3347,97,506,66,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1522,79,1061,88,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,1877,147,519,72,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,1993,65,598,62,Oats with Fruits,Dal Rice,Khichdi
Vegetarian,2669,150,725,63,Vegetable Poha,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2457,189,846,42,Egg Omelette,Mutton Biryani,Chicken Tikka Masala
Vegetarian,1241,74,610,27,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,2701,79,524,33,Scrambled Eggs,Fish Fry with Roti,Tandoori Fish
Vegetarian,3340,172,835,69,Aloo Paratha,Dal Rice,Khichdi
Non-Vegetarian,2782,104,978,76,Scrambled Eggs,Mutton Biryani,Butter Chicken
Non-Vegetarian,2997,186,559,45,Egg Bhurji,Mutton Biryani,Butter Chicken
Non-Vegetarian,1958,164,732,77,Chicken Sausage,Prawn Masala,Butter Chicken
Non-Vegetarian,2815,110,562,45,Egg Omelette,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2484,115,520,90,Aloo Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3195,101,694,81,Egg Omelette,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2920,136,660,74,Oats with Fruits,Vegetable Biryani,Matar Paneer
Non-Vegetarian,1335,144,981,69,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,3369,122,450,40,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,3048,159,840,68,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,1273,129,713,49,Paneer Paratha,Vegetable Biryani,Khichdi
Vegetarian,1288,151,829,66,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,2276,164,684,32,Egg Bhurji,Prawn Masala,Butter Chicken
Non-Vegetarian,3174,168,1060,98,Egg Omelette,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,1402,61,523,88,Scrambled Eggs,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3047,121,635,96,Scrambled Eggs,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1221,60,506,52,Egg Omelette,Mutton Biryani,Butter Chicken
Non-Vegetarian,2287,76,659,94,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,3377,60,546,58,Scrambled Eggs,Fish Fry with Roti,Grilled Chicken
Vegetarian,2524,117,1163,32,Oats with Fruits,Chole Bhature,Palak Paneer with Roti
Vegetarian,2247,153,1092,34,Paneer Paratha,Chole Bhature,Dum Aloo
Vegetarian,3136,192,607,71,Idli Sambhar,Rajma Chawal,Dum Aloo
Vegetarian,3016,174,966,52,Paneer Paratha,Chole Bhature,Palak Paneer with Roti
Vegetarian,1710,124,1197,64,Oats with Fruits,Rajma Chawal,Matar Paneer
Non-Vegetarian,3348,198,1159,41,Scrambled Eggs,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2058,196,475,80,Idli Sambhar,Chole Bhature,Khichdi
Vegetarian,1852,93,817,95,Aloo Paratha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,1354,89,567,67,Chicken Sausage,Mutton Biryani,Grilled Chicken
Vegetarian,1702,76,661,36,Paneer Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2683,67,460,24,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1717,151,573,37,Egg Bhurji,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2535,184,526,38,Idli Sambhar,Vegetable Biryani,Matar Paneer
Vegetarian,2404,112,902,81,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,3389,85,653,39,Egg Omelette,Prawn Masala,Grilled Chicken
Vegetarian,3048,153,908,25,Aloo Paratha,Dal Rice,Matar Paneer
Vegetarian,3080,128,1006,63,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,2599,93,1145,98,Egg Bhurji,Fish Fry with Roti,Tandoori Fish
Vegetarian,2232,105,443,56,Paneer Paratha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,3194,168,484,60,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2687,166,1097,76,Egg Bhurji,Fish Fry with Roti,Tandoori Fish
Vegetarian,2601,124,712,59,Oats with Fruits,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2980,157,787,78,Egg Omelette,Prawn Masala,Butter Chicken
Non-Vegetarian,3147,112,499,58,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2197,115,707,40,Chicken Sausage,Prawn Masala,Grilled Chicken
Non-Vegetarian,2653,138,1137,82,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,1701,65,492,66,Vegetable Poha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,1486,75,889,63,Chicken Sandwich,Chicken Curry with Rice,Grilled Chicken
Vegetarian,3111,161,462,81,Oats with Fruits,Chole Bhature,Khichdi
Non-Vegetarian,3027,179,805,98,Chicken Sandwich,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,3409,148,1049,49,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,3464,174,1165,78,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,3260,122,732,64,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Vegetarian,1561,88,651,72,Idli Sambhar,Vegetable Biryani,Khichdi
Non-Vegetarian,3457,95,1018,26,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,3001,80,692,90,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Vegetarian,1569,52,1185,84,Idli Sambhar,Rajma Chawal,Matar Paneer
Vegetarian,2643,96,1064,26,Paneer Paratha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3007,166,572,34,Vegetable Poha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,1545,86,949,32,Aloo Paratha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3336,119,693,78,Oats with Fruits,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,1504,190,705,63,Egg Omelette,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2277,88,1165,89,Egg Bhurji,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2785,177,810,32,Scrambled Eggs,Prawn Masala,Grilled Chicken
Vegetarian,2902,140,694,23,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,3381,193,823,56,Egg Bhurji,Mutton Biryani,Grilled Chicken
Vegetarian,3482,61,776,77,Idli Sambhar,Rajma Chawal,Matar Paneer
Vegetarian,2473,108,1029,96,Vegetable Poha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,3075,114,1188,65,Oats with Fruits,Vegetable Biryani,Khichdi
Non-Vegetarian,2145,51,769,95,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,3497,97,734,80,Egg Bhurji,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,3241,176,1021,82,Chicken Sandwich,Fish Fry with Roti,Tandoori Fish
Vegetarian,3195,135,1006,36,Aloo Paratha,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,1966,96,615,67,Aloo Paratha,Rajma Chawal,Khichdi
Non-Vegetarian,3164,99,588,38,Egg Bhurji,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2730,160,995,48,Chicken Sandwich,Fish Fry with Roti,Butter Chicken
Vegetarian,2361,189,1195,95,Vegetable Poha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,2496,53,700,27,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2788,62,1064,33,Egg Omelette,Mutton Biryani,Butter Chicken
Vegetarian,1925,94,775,85,Paneer Paratha,Chole Bhature,Dum Aloo
Vegetarian,2396,69,786,31,Vegetable Poha,Dal Rice,Dum Aloo
Non-Vegetarian,1289,178,1056,44,Chicken Sausage,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,3320,160,577,38,Chicken Sausage,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2105,167,632,39,Chicken Sandwich,Mutton Biryani,Butter Chicken
Vegetarian,2292,182,1154,93,Paneer Paratha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,2004,79,730,89,Aloo Paratha,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2057,128,420,87,Egg Omelette,Mutton Biryani,Butter Chicken
Vegetarian,2076,58,829,70,Idli Sambhar,Chole Bhature,Khichdi
Non-Vegetarian,2660,55,1172,74,Egg Omelette,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,1227,74,544,54,Egg Bhurji,Chicken Curry with Rice,Butter Chicken
Vegetarian,3329,57,1060,24,Paneer Paratha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,2000,59,851,39,Paneer Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2963,151,875,57,Egg Bhurji,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,3159,158,1128,88,Aloo Paratha,Chole Bhature,Matar Paneer
